GOterm	NCBITaxon:10090	NCBITaxon:33090	NCBITaxon:3702	NCBITaxon:40674
GO:0000907	1	1	1	1
GO:0000908	1	1	1	1
GO:0000909	0	0	0	0
GO:0000910	1	1	1	1
GO:0000911	0	1	1	0
GO:0000912	1	1	1	1
GO:0000913	0	1	1	0
GO:0000914	0	1	1	0
GO:0000915	1	1	1	1
GO:0000916	1	1	1	1
GO:0000917	1	1	1	1
GO:0000918	1	1	1	1
GO:0000919	0	1	1	0
GO:0000920	0	1	1	0
GO:0000921	1	1	1	1
GO:0000922	1	1	1	1
GO:0000923	1	1	1	1
GO:0000924	1	1	1	1
GO:0000927	1	1	1	1
GO:0000928	0	0	0	0
GO:0000930	1	1	1	1
GO:0000931	1	1	1	1
GO:0000932	1	1	1	1
GO:0000933	1	1	1	1
GO:0000934	1	1	1	1
GO:0000935	1	1	1	1
GO:0000936	1	1	1	1
GO:0000937	1	1	1	1
GO:0000938	1	1	1	1
GO:0000939	1	1	1	1
GO:0000940	1	1	1	1
GO:0000941	1	1	1	1
GO:0000942	1	1	1	1
GO:0000943	1	1	1	1
GO:0000944	1	1	1	1
GO:0000945	1	1	1	1
GO:0000946	1	1	1	1
GO:0000947	1	1	1	1
GO:0000948	1	1	1	1
GO:0000949	1	1	1	1
GO:0000950	1	1	1	1
GO:0000951	1	1	1	1
GO:0000952	1	1	1	1
GO:0000953	1	1	1	1
GO:0000954	1	1	1	1
GO:0000955	1	1	1	1
GO:0000956	1	1	1	1
GO:0000957	1	1	1	1
GO:0000958	1	1	1	1
GO:0000959	1	1	1	1
GO:0000960	1	1	1	1
GO:0000961	1	1	1	1
GO:0000962	1	1	1	1
GO:0000963	1	1	1	1
GO:0000964	1	1	1	1
GO:0000965	1	1	1	1
GO:0000966	1	1	1	1
GO:0000967	1	1	1	1
GO:0000968	1	1	1	1
GO:0000969	1	1	1	1
GO:0000970	1	1	1	1
GO:0000971	1	1	1	1
GO:0000972	1	1	1	1
GO:0000973	1	1	1	1
GO:0000974	1	1	1	1
GO:0000976	1	1	1	1
GO:0000977	1	1	1	1
GO:0000978	1	1	1	1
GO:0000979	1	1	1	1
GO:0000980	1	1	1	1
GO:0000981	1	1	1	1
GO:0000984	0	0	0	0
GO:0000985	0	0	0	0
GO:0000986	0	0	0	0
GO:0000987	1	1	1	1
GO:0000992	1	1	1	1
GO:0000993	1	1	1	1
GO:0000994	1	1	1	1
GO:0000995	1	1	1	1
GO:0001000	1	1	1	1
GO:0001001	1	1	1	1
GO:0001002	1	1	1	1
GO:0001003	1	1	1	1
GO:0001004	1	1	1	1
GO:0001006	1	1	1	1
GO:0001010	1	1	1	1
GO:0001012	1	1	1	1
GO:0001013	1	1	1	1
GO:0001014	1	1	1	1
GO:0001015	1	1	1	1
