inbred,aspect,db_object_symbol,rc,num_gold,num_pred,evalType,source
B73v3,C,GRMZM2G046681,0.75,24,75,CAFA,GOMAP
B73v3,C,GRMZM2G104613,1,9,18,CAFA,GOMAP
B73v3,C,GRMZM2G040933,0.458333333333333,24,15,CAFA,GOMAP
B73v3,C,GRMZM2G110408,0.8,10,30,CAFA,GOMAP
B73v3,C,GRMZM2G090905,1,8,20,CAFA,GOMAP
B73v3,C,GRMZM2G177169,1,13,20,CAFA,GOMAP
B73v3,C,GRMZM2G032282,1,9,14,CAFA,GOMAP
B73v3,C,GRMZM2G004583,0.888888888888889,9,10,CAFA,GOMAP
B73v3,C,GRMZM2G348512,1,9,35,CAFA,GOMAP
B73v3,C,GRMZM2G153704,0.166666666666667,24,6,CAFA,GOMAP
B73v3,C,GRMZM2G032628,1,9,14,CAFA,GOMAP
B73v3,C,GRMZM2G085381,1,9,12,CAFA,GOMAP
B73v3,C,GRMZM2G017355,0.615384615384615,13,10,CAFA,GOMAP
B73v3,C,GRMZM2G122479,0.888888888888889,9,18,CAFA,GOMAP
B73v3,C,GRMZM2G118597,1,8,16,CAFA,GOMAP
B73v3,C,GRMZM2G034120,1,8,30,CAFA,GOMAP
B73v3,C,GRMZM2G009223,0.75,24,33,CAFA,GOMAP
B73v3,C,GRMZM2G368902,1,9,17,CAFA,GOMAP
B73v3,C,GRMZM2G128850,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G124466,1,12,26,CAFA,GOMAP
B73v3,C,GRMZM2G064993,1,8,33,CAFA,GOMAP
B73v3,C,GRMZM2G074599,0.769230769230769,13,16,CAFA,GOMAP
B73v3,C,GRMZM2G028216,0.857142857142857,14,26,CAFA,GOMAP
B73v3,C,GRMZM2G035708,0.516129032258065,31,35,CAFA,GOMAP
B73v3,C,GRMZM2G095082,1,6,26,CAFA,GOMAP
B73v3,C,GRMZM2G012174,0.769230769230769,13,17,CAFA,GOMAP
B73v3,C,GRMZM2G025855,0.928571428571429,14,38,CAFA,GOMAP
B73v3,C,GRMZM2G375064,1,8,16,CAFA,GOMAP
B73v3,C,GRMZM2G048497,1,9,11,CAFA,GOMAP
B73v3,C,GRMZM2G129208,1,9,13,CAFA,GOMAP
B73v3,C,GRMZM2G115077,0.888888888888889,9,19,CAFA,GOMAP
B73v3,C,GRMZM2G124059,1,9,12,CAFA,GOMAP
B73v3,C,GRMZM2G399890,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G083716,1,9,36,CAFA,GOMAP
B73v3,C,GRMZM2G076771,0.615384615384615,13,11,CAFA,GOMAP
B73v3,C,AC199526.5_FG004,0,0,0,CAFA,GOMAP
B73v3,C,GRMZM2G067225,1,12,35,CAFA,GOMAP
B73v3,C,GRMZM2G162764,0.769230769230769,13,31,CAFA,GOMAP
B73v3,C,GRMZM2G120300,0.888888888888889,9,19,CAFA,GOMAP
B73v3,C,GRMZM2G132593,1,8,9,CAFA,GOMAP
B73v3,C,GRMZM2G049892,0.888888888888889,9,12,CAFA,GOMAP
B73v3,C,GRMZM2G119471,0.857142857142857,14,26,CAFA,GOMAP
B73v3,C,GRMZM2G149383,1,8,27,CAFA,GOMAP
B73v3,C,GRMZM2G175867,0.769230769230769,13,16,CAFA,GOMAP
